DatasetID;DatasetAccessionID;SampleAccessionID;CellType;DetailedCellType;Condition;SenescentType;Treatment;timepoints;Immortalised
Wang;GSE214410;SRR21743828;Fibroblast;IMR90;Proliferative;none;Proliferation + vector;none;no
Lenain;GSE75643;SRR2970873;Fibroblast;Tig3;Proliferative;none;Proliferation + vector;4d;yes
Lenain;GSE75643;SRR2970874;Fibroblast;Tig3;Senescent;Oncogene;pBabe-puro-BRAFE600 (OIS);4d;yes
Lenain;GSE75643;SRR2970876;Fibroblast;Tig3;Proliferative;none;Proliferation + vector;10d;yes
Lenain;GSE75643;SRR2970877;Fibroblast;Tig3;Senescent;Oncogene;pBabe-puro-BRAFE600 (OIS);10d;yes
Lenain;GSE75643;SRR2970879;Fibroblast;Tig3;Proliferative;none;Proliferation + vector;4d;yes
Lenain;GSE75643;SRR2970880;Fibroblast;Tig3;Senescent;Oncogene;pBabe-puro-BRAFE600 (OIS);4d;yes
Lenain;GSE75643;SRR2970882;Fibroblast;Tig3;Proliferative;none;Proliferation + vector;10d;yes
Lenain;GSE75643;SRR2970883;Fibroblast;Tig3;Senescent;Oncogene;pBabe-puro-BRAFE600 (OIS);10d;yes
Lenain;GSE75643;SRR2970885;Fibroblast;Tig3;Proliferative;none;Proliferation + vector;4d;yes
Lenain;GSE75643;SRR2970886;Fibroblast;Tig3;Senescent;Oncogene;pBabe-puro-BRAFE600 (OIS);4d;yes
Lenain;GSE75643;SRR2970888;Fibroblast;Tig3;Proliferative;none;Proliferation + vector;10d;yes
Lenain;GSE75643;SRR2970889;Fibroblast;Tig3;Senescent;Oncogene;pBabe-puro-BRAFE600 (OIS);10d;yes
Lenain;GSE75643;SRR2970891;Fibroblast;Tig3;Proliferative;none;Proliferation;10d;yes
Lenain;GSE75643;SRR2970892;Fibroblast;Tig3;Quiescent;none;0% FBS DMEM;10d;yes
Lenain;GSE75643;SRR2970893;Fibroblast;Tig3;Proliferative;none;Proliferation;10d;yes
Lenain;GSE75643;SRR2970894;Fibroblast;Tig3;Quiescent;none;0% FBS DMEM;10d;yes
Lenain;GSE75643;SRR2970895;Fibroblast;Tig3;Proliferative;none;Proliferation;10d;yes
Lenain;GSE75643;SRR2970896;Fibroblast;Tig3;Quiescent;none;0% FBS DMEM;10d;yes
Purcell;GSE60340;SRR1544480;Fibroblast;MDAH041 LFS ;Proliferative;none;Immortal;none;yes
Purcell;GSE60340;SRR1544481;Fibroblast;MDAH041 LFS ;Proliferative;none;Immortal;none;yes
Purcell;GSE60340;SRR1544482;Fibroblast;MDAH041 LFS ;Proliferative;none;Immortal;none;yes
Purcell;GSE60340;SRR1544483;Fibroblast;MDAH041 LFS ;Proliferative;none;low low passage (young);none;no
Purcell;GSE60340;SRR1544484;Fibroblast;MDAH041 LFS ;Proliferative;none;low low passage (young);none;no
Purcell;GSE60340;SRR1544485;Fibroblast;MDAH041 LFS ;Proliferative;none;low low passage (young);none;no
Purcell;GSE60340;SRR1544486;Fibroblast;MDAH041 LFS ;Proliferative;none;low passage (old);none;no
Purcell;GSE60340;SRR1544487;Fibroblast;MDAH041 LFS ;Proliferative;none;low passage (old);none;no
Purcell;GSE60340;SRR1544488;Fibroblast;MDAH041 LFS ;Proliferative;none;low passage (old);none;no
Purcell;GSE60340;SRR1544489;Fibroblast;MDAH041 LFS ;Senescent;Telomere shortening;growth arrest;none;no
Purcell;GSE60340;SRR1544490;Fibroblast;MDAH041 LFS ;Senescent;Telomere shortening;growth arrest;none;no
Purcell;GSE60340;SRR1544491;Fibroblast;MDAH041 LFS ;Senescent;Telomere shortening;growth arrest;none;no
Purcell;GSE60340;SRR1544492;Fibroblast;MDAH041 LFS ;Senescent;DNA damage;Adriamycin;none;no
Purcell;GSE60340;SRR1544493;Fibroblast;MDAH041 LFS ;Senescent;DNA damage;Adriamycin;none;no
Purcell;GSE60340;SRR1544494;Fibroblast;MDAH041 LFS ;Senescent;DNA damage;Adriamycin;none;no
Purcell;GSE60340;SRR1544495;Fibroblast;MDAH041 LFS ;Senescent;ÊDNA demethylation;5-aza;none;no
Purcell;GSE60340;SRR1544496;Fibroblast;MDAH041 LFS ;Senescent;ÊDNA demethylation;5-aza;none;no
Purcell;GSE60340;SRR1544497;Fibroblast;MDAH041 LFS ;Senescent;ÊDNA demethylation;5-aza;none;no
Purcell;GSE60340;SRR1544498;Fibroblast;MDAH041 LFS ;Senescent;Oxidative stress;H2O2;none;no
Purcell;GSE60340;SRR1544499;Fibroblast;MDAH041 LFS ;Senescent;Oxidative stress;H2O2;none;no
Purcell;GSE60340;SRR1544500;Fibroblast;MDAH041 LFS ;Senescent;Oxidative stress;H2O2;none;no
Purcell;GSE60340;SRR1544501;Fibroblast;MDAH041 LFS ;Quiescent;none;Serum-starved;none;no
Purcell;GSE60340;SRR1544502;Fibroblast;MDAH041 LFS ;Quiescent;none;Serum-starved;none;no
Purcell;GSE60340;SRR1544503;Fibroblast;MDAH041 LFS ;Quiescent;none;Serum-starved;none;no
Aarts;GSE94928;SRR5259584;Fibroblast;IMR90;Proliferative;none;Proliferation;20d;no
Aarts;GSE94928;SRR5259585;Fibroblast;IMR90;Proliferative;none;Proliferation;20d;no
Aarts;GSE94928;SRR5259586;Fibroblast;IMR90;Proliferative;none;Proliferation;20d;no
Aarts;GSE94928;SRR5259587;Fibroblast;IMR90;Proliferative;none;Proliferation;14d;no
Aarts;GSE94928;SRR5259588;Fibroblast;IMR90;Proliferative;none;Proliferation;14d;no
Aarts;GSE94928;SRR5259589;Fibroblast;IMR90;Proliferative;none;Proliferation;14d;no
Aarts;GSE94928;SRR5259590;Fibroblast;IMR90;Senescent;OSKM factors;OSKM factors;20d;no
Aarts;GSE94928;SRR5259591;Fibroblast;IMR90;Senescent;OSKM factors;OSKM factors;20d;no
Aarts;GSE94928;SRR5259592;Fibroblast;IMR90;Senescent;OSKM factors;OSKM factors;20d;no
Aarts;GSE94928;SRR5259593;Fibroblast;IMR90;Senescent;OSKM factors;OSKM factors;14d;no
Aarts;GSE94928;SRR5259594;Fibroblast;IMR90;Senescent;OSKM factors;OSKM factors;14d;no
Aarts;GSE94928;SRR5259595;Fibroblast;IMR90;Senescent;OSKM factors;OSKM factors;14d;no
McHugh;GSE224070;SRR23272464;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin;none;no
McHugh;GSE224070;SRR23272467;Fibroblast;IMR90;Proliferative;none;Proliferation;none;no
McHugh;GSE224070;SRR23272470;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin;none;no
McHugh;GSE224070;SRR23272473;Fibroblast;IMR90;Proliferative;none;Proliferation;none;no
McHugh;GSE224070;SRR23272476;Fibroblast;IMR90;Senescent;Oncogene;ER:RAS + tamoxyfen (4OHT);none;no
McHugh;GSE224070;SRR23272479;Fibroblast;IMR90;Proliferative;none;ER:RAS + DMSO;none;no
McHugh;GSE224070;SRR23272482;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin;none;no
McHugh;GSE224070;SRR23272485;Fibroblast;IMR90;Proliferative;none;Proliferation;none;no
McHugh;GSE224070;SRR23272488;Fibroblast;IMR90;Senescent;Oncogene;ER:RAS + tamoxyfen (4OHT);none;no
McHugh;GSE224070;SRR23272491;Fibroblast;IMR90;Proliferative;none;ER:RAS + DMSO;none;no
McHugh;GSE224070;SRR23272494;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin;none;no
McHugh;GSE224070;SRR23272497;Fibroblast;IMR90;Proliferative;none;Proliferation;none;no
McHugh;GSE224070;SRR23272500;Fibroblast;IMR90;Senescent;Oncogene;ER:RAS + tamoxyfen (4OHT);none;no
McHugh;GSE224070;SRR23272503;Fibroblast;IMR90;Proliferative;none;ER:RAS + DMSO;none;no
Marthandan2016;GSE63577;SRR1660534;Fibroblast;MCR5;Senescent;Telomere shortening;PD72 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660535;Fibroblast;MCR5;Senescent;Telomere shortening;PD72 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660536;Fibroblast;MCR5;Senescent;Telomere shortening;PD72 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660537;Fibroblast;BJ;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660538;Fibroblast;BJ;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660539;Fibroblast;BJ;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660540;Fibroblast;BJ;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660541;Fibroblast;BJ;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660542;Fibroblast;BJ;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660543;Fibroblast;HFF;Proliferative;none;PD16;none;no
Marthandan2016;GSE63577;SRR1660544;Fibroblast;HFF;Proliferative;none;PD16;none;no
Marthandan2016;GSE63577;SRR1660545;Fibroblast;HFF;Proliferative;none;PD16;none;no
Marthandan2016;GSE63577;SRR1660546;Fibroblast;HFF;Senescent;Telomere shortening;PD74 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660547;Fibroblast;HFF;Senescent;Telomere shortening;PD74 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660548;Fibroblast;HFF;Senescent;Telomere shortening;PD74 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660549;Fibroblast;IMR90;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660550;Fibroblast;IMR90;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660551;Fibroblast;IMR90;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660552;Fibroblast;IMR90;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660553;Fibroblast;IMR90;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660554;Fibroblast;IMR90;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660555;Fibroblast;WI38;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660556;Fibroblast;WI38;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660557;Fibroblast;WI38;Proliferative;none;young;none;no
Marthandan2016;GSE63577;SRR1660558;Fibroblast;WI38;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660559;Fibroblast;WI38;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR1660560;Fibroblast;WI38;Senescent;Telomere shortening;old (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR2751110;Fibroblast;HFF;Proliferative;none;PD26;none;no
Marthandan2016;GSE63577;SRR2751111;Fibroblast;HFF;Proliferative;none;PD26;none;no
Marthandan2016;GSE63577;SRR2751112;Fibroblast;HFF;Proliferative;none;PD26;none;no
Marthandan2016;GSE63577;SRR2751116;Fibroblast;HFF;Senescent;Telomere shortening;PD64 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR2751117;Fibroblast;HFF;Senescent;Telomere shortening;PD64 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR2751118;Fibroblast;HFF;Senescent;Telomere shortening;PD64 (Replicative senescence);none;no
Marthandan2016;GSE63577;SRR2751119;Fibroblast;MCR5;Proliferative;none;PD42;none;no
Marthandan2016;GSE63577;SRR2751120;Fibroblast;MCR5;Proliferative;none;PD42;none;no
Marthandan2016;GSE63577;SRR2751121;Fibroblast;MCR5;Proliferative;none;PD42;none;no
Marthandan2016;GSE63577;SRR2751122;Fibroblast;MCR5;Proliferative;none;PD52;none;no
Marthandan2016;GSE63577;SRR2751123;Fibroblast;MCR5;Proliferative;none;PD52;none;no
Marthandan2016;GSE63577;SRR2751124;Fibroblast;MCR5;Proliferative;none;PD52;none;no
Suda;GSE222400;SRR23018053;Fibroblast;WI38;Proliferative;none;DXR-treated;1d;no
Suda;GSE222400;SRR23018054;Fibroblast;WI38;Proliferative;none;DXR-treated;1d;no
Suda;GSE222400;SRR23018055;Fibroblast;WI38;Proliferative;none;DXR-treated;0d;no
Suda;GSE222400;SRR23018056;Fibroblast;WI38;Proliferative;none;DXR-treated;0d;no
Suda;GSE222400;SRR23018057;Fibroblast;WI38;Senescent;Calcium influx;KCl-treated;16d;no
Suda;GSE222400;SRR23018058;Fibroblast;WI38;Senescent;Calcium influx;KCl-treated;16d;
Suda;GSE222400;SRR23018069;Fibroblast;WI38;Proliferative;none;KCl-treated;1d;no
Suda;GSE222400;SRR23018070;Fibroblast;WI38;Proliferative;none;KCl-treated;1d;no
Suda;GSE222400;SRR23018071;Fibroblast;WI38;Proliferative;none;KCl-treated;0d;no
Suda;GSE222400;SRR23018072;Fibroblast;WI38;Proliferative;none;KCl-treated;0d;no
Suda;GSE222400;SRR23018073;Fibroblast;WI38;Senescent;DNA damage;DXR-treated;16d;no
Suda;GSE222400;SRR23018074;Fibroblast;WI38;Senescent;DNA damage;DXR-treated;16d;no
Suda;GSE222400;SRR23018085;Fibroblast;WI38;Senescent;Plasma membrane dysruption;SDS-treated;16d;no
Suda;GSE222400;SRR23018086;Fibroblast;WI38;Senescent;Plasma membrane dysruption;SDS-treated;16d;no
Suda;GSE222400;SRR23018097;Fibroblast;WI38;Proliferative;Plasma membrane dysruption;SDS-treated;1d;no
Suda;GSE222400;SRR23018098;Fibroblast;WI38;Proliferative;Plasma membrane dysruption;SDS-treated;1d;no
Suda;GSE222400;SRR23018099;Fibroblast;WI38;Proliferative;Plasma membrane dysruption;SDS-treated;0d;no
Suda;GSE222400;SRR23018100;Fibroblast;WI38;Proliferative;Plasma membrane dysruption;SDS-treated;0d;no
Suda;GSE222400;SRR23018101;Fibroblast;WI38;Senescent;Telomere shortening;replicative senescence;none;no
Suda;GSE222400;SRR23018102;Fibroblast;WI38;Senescent;Telomere shortening;replicative senescence;none;no
Suda;GSE222400;SRR23018103;Fibroblast;WI38;Proliferative;none;Proliferating;none;no
Suda;GSE222400;SRR23018104;Fibroblast;WI38;Proliferative;none;Proliferating;none;no
Tasdemir;GSE74324;SRR2932856;Fibroblast;IMR90;Proliferative;none;cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932857;Fibroblast;IMR90;Proliferative;none;cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932858;Fibroblast;IMR90;Proliferative;none;cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932859;Fibroblast;IMR90;Quiescent;none;cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932860;Fibroblast;IMR90;Quiescent;none;cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932861;Fibroblast;IMR90;Quiescent;none;cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932862;Fibroblast;IMR90;Senescent;Oncogene;cotransduced with pWZL HRASV12 and shRen;none;no
Tasdemir;GSE74324;SRR2932863;Fibroblast;IMR90;Senescent;Oncogene;cotransduced with pWZL HRASV12 and shRen;none;no
Tasdemir;GSE74324;SRR2932864;Fibroblast;IMR90;Senescent;Oncogene;cotransduced with pWZL HRASV12 and shRen;none;no
Tasdemir;GSE74324;SRR2932910;Fibroblast;IMR90;Proliferative;none;DMSO 48h (vector for JQ1) + cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932911;Fibroblast;IMR90;Proliferative;none;DMSO 48h (vector for JQ1) + cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932912;Fibroblast;IMR90;Proliferative;none;DMSO 48h (vector for JQ1) + cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932913;Fibroblast;IMR90;Quiescent;none;DMSO 48h (vector for JQ1) + cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932914;Fibroblast;IMR90;Quiescent;none;DMSO 48h (vector for JQ1) + cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932915;Fibroblast;IMR90;Quiescent;none;DMSO 48h (vector for JQ1) + cotransduced with pWZL-Hygro and shRen;none;no
Tasdemir;GSE74324;SRR2932916;Fibroblast;IMR90;Senescent;Oncogene;DMSO 48h (vector for JQ1) + cotransduced with pWZL HRASV12 and shRen;none;no
Tasdemir;GSE74324;SRR2932917;Fibroblast;IMR90;Senescent;Oncogene;DMSO 48h (vector for JQ1) + cotransduced with pWZL HRASV12 and shRen;none;no
Tasdemir;GSE74324;SRR2932918;Fibroblast;IMR90;Senescent;Oncogene;DMSO 48h (vector for JQ1) + cotransduced with pWZL HRASV12 and shRen;none;no
Savic;GSE230181;SRR24952348;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952349;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952350;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952351;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952352;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952353;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952354;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952355;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952356;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952357;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952358;Fibroblast;IMR90;Senescent;Oxidative stress;Oligomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952359;Fibroblast;IMR90;Senescent;Oxidative stress;Oligomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952360;Fibroblast;IMR90;Senescent;Oxidative stress;Oligomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952361;Fibroblast;IMR90;Senescent;Oxidative stress;Oligomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952362;Fibroblast;IMR90;Senescent;Oxidative stress;Oligomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952363;Fibroblast;IMR90;Senescent;Oxidative stress;Antimycin A for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952364;Fibroblast;IMR90;Senescent;Oxidative stress;Antimycin A for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952365;Fibroblast;IMR90;Senescent;Oxidative stress;Antimycin A for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952366;Fibroblast;IMR90;Senescent;Oxidative stress;Antimycin A for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952367;Fibroblast;IMR90;Senescent;Oxidative stress;Antimycin A for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952368;Fibroblast;IMR90;Senescent;Oxidative stress;Rotenone for 14 days;none;no
Savic;GSE230181;SRR24952369;Fibroblast;IMR90;Senescent;Oxidative stress;Rotenone for 14 days;none;no
Savic;GSE230181;SRR24952370;Fibroblast;IMR90;Senescent;Oxidative stress;Rotenone for 14 days;none;no
Savic;GSE230181;SRR24952371;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952372;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952373;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952374;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952375;Fibroblast;IMR90;Senescent;DNA damage;Bleomycin for 6 days on + 8 days off;none;no
Savic;GSE230181;SRR24952376;Fibroblast;IMR90;Senescent;oncogene;stably transduced with inducible RasV12 + DOX for 12 days;none;yes
Savic;GSE230181;SRR24952377;Fibroblast;IMR90;Senescent;oncogene;stably transduced with inducible RasV12 + DOX for 12 days;none;yes
Savic;GSE230181;SRR24952378;Fibroblast;IMR90;Senescent;oncogene;stably transduced with inducible RasV12 + DOX for 12 days;none;yes
Savic;GSE230181;SRR24952379;Fibroblast;IMR90;Senescent;Radiation;10Gy ionising radiation 14 days prior collection;none;no
Savic;GSE230181;SRR24952395;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952396;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952397;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952398;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952399;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952400;Fibroblast;IMR90;Proliferative;none;Proliferative (control for RasV12);none;yes
Savic;GSE230181;SRR24952401;Fibroblast;IMR90;Proliferative;none;Proliferative (control for RasV12);none;yes
Savic;GSE230181;SRR24952402;Fibroblast;IMR90;Proliferative;none;Proliferative (control for RasV12);none;yes
Savic;GSE230181;SRR24952403;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952404;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952405;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952406;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952407;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952408;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952409;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952410;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952411;Fibroblast;IMR90;Proliferative;none;Proliferative;none;no
Savic;GSE230181;SRR24952412;Fibroblast;IMR90;Senescent;Radiation;10Gy ionising radiation 14 days prior collection;none;no
Savic;GSE230181;SRR24952413;Fibroblast;IMR90;Senescent;Radiation;10Gy ionising radiation 14 days prior collection;none;no
Savic;GSE230181;SRR24952414;Fibroblast;IMR90;Senescent;Radiation;10Gy ionising radiation 14 days prior collection;none;no
Savic;GSE230181;SRR24952415;Fibroblast;IMR90;Senescent;Radiation;10Gy ionising radiation 14 days prior collection;none;no
Savic;GSE230181;SRR24952416;Fibroblast;IMR90;Senescent;Radiation;10Gy ionising radiation 14 days prior collection;none;no
Savic;GSE230181;SRR24952417;Fibroblast;IMR90;Senescent;Radiation;10Gy ionising radiation 14 days prior collection;none;no
Savic;GSE230181;SRR24952418;Fibroblast;IMR90;Senescent;Radiation;10Gy ionising radiation 14 days prior collection;none;no
